CUST_ID_NO,ACCT_NO,NPA,NXX,TLN,BL_PROD_ID,DELETE_IND,ADMIN_CRT_TMSTAMP,BL_GRP_NO,MTN_EFF_DT
CUST001,1234567890,123,456,7890,1001,N,2024-01-01T10:00:00,2001,2024-01-01
CUST002,1234567891,124,457,7891,1002,Y,2024-01-02T10:00:00,2002,2024-01-02
CUST003,1234567892,125,458,7892,1003,N,2024-01-03T10:00:00,2003,2024-01-03
CUST004,1234567893,126,459,7893,1004,Y,2024-01-04T10:00:00,2004,2024-01-04
CUST005,1234567894,127,460,7894,1005,N,2024-01-05T10:00:00,2005,2024-01-05
CUST006,1234567895,128,461,7895,1006,Y,2024-01-06T10:00:00,2006,2024-01-06
CUST007,1234567896,129,462,7896,1007,N,2024-01-07T10:00:00,2007,2024-01-07
CUST008,1234567897,130,463,7897,1008,Y,2024-01-08T10:00:00,2008,2024-01-08
CUST009,1234567898,131,464,7898,1009,N,2024-01-09T10:00:00,2009,2024-01-09
CUST010,1234567899,132,465,7899,1010,Y,2024-01-10T10:00:00.2010,2024-01-10
